data_coleta_iso,genotipo,turno,n_components,rmsecv,r2cv,auc,accuracy
2017-02-26,CD202,manha,1,0.18609025368101723,0.8614816699397386,1.0,0.984375
2017-02-26,CD202,manha,2,0.10740590393405837,0.9538558872004312,1.0,1.0
2017-02-26,CD202,manha,3,0.09472746040058401,0.9641068329842232,1.0,1.0
2017-02-26,CD202,manha,4,0.07961947667439426,0.9746429557363824,1.0,1.0
2017-02-26,CD202,manha,5,0.07421376940411493,0.9779692657233314,1.0,1.0
2017-02-26,CD202,manha,6,0.06561387869672249,0.9827792756894872,1.0,1.0
2017-02-26,CD202,manha,7,0.058814883792624284,0.9861632377778404,1.0,1.0
2017-02-26,CD202,manha,8,0.053761954853334015,0.9884386088413923,1.0,1.0
2017-02-26,CD202,manha,9,0.049888665222869555,0.9900444843291217,1.0,1.0
2017-02-26,CD202,manha,10,0.049231477584107564,0.9903050464595421,1.0,1.0
2017-02-26,CD202,manha,11,0.046212071778449576,0.9914577776877737,1.0,1.0
2017-02-26,CD202,manha,12,0.045121816997411746,0.9918560865234083,1.0,1.0
2017-02-26,CD202,manha,13,0.044488867551687336,0.9920829626558737,1.0,1.0
2017-02-26,CD202,manha,14,0.044318434787944117,0.992143505351787,1.0,1.0
2017-02-26,CD202,manha,15,0.04433012105357344,0.9921393614695021,1.0,1.0
2017-02-26,EMB48,manha,1,0.22065462807320113,0.805246140439509,1.0,1.0
2017-02-26,EMB48,manha,2,0.1562127007091887,0.9023903685485658,1.0,1.0
2017-02-26,EMB48,manha,3,0.1347967665087465,0.9273193269551459,1.0,1.0
2017-02-26,EMB48,manha,4,0.11965795415822603,0.9427278960266715,1.0,1.0
2017-02-26,EMB48,manha,5,0.10254747822416399,0.9579360588394584,1.0,1.0
2017-02-26,EMB48,manha,6,0.0870513040748021,0.9696882818355054,1.0,1.0
2017-02-26,EMB48,manha,7,0.07558749317831004,0.9771461235000757,1.0,1.0
2017-02-26,EMB48,manha,8,0.0669448210433791,0.9820735637418798,1.0,1.0
2017-02-26,EMB48,manha,9,0.06345559089505437,0.983893551936638,1.0,1.0
2017-02-26,EMB48,manha,10,0.06467863551614943,0.9832666964310763,1.0,1.0
2017-02-26,EMB48,manha,11,0.06365380852725129,0.9837927706399041,1.0,1.0
2017-02-26,EMB48,manha,12,0.0635485984003822,0.9838463025653877,1.0,1.0
2017-02-26,EMB48,manha,13,0.06343128027125237,0.9839058907325993,1.0,1.0
2017-02-26,EMB48,manha,14,0.06360750541868972,0.9838163410176455,1.0,1.0
2017-02-26,EMB48,manha,15,0.0635149456905187,0.9838634066957218,1.0,1.0
2017-02-27,BR16,manha,1,0.16424339756311576,0.8920964254276972,1.0,1.0
2017-02-27,BR16,manha,2,0.10587709353721608,0.9551601642564463,1.0,1.0
2017-02-27,BR16,manha,3,0.06835482457871533,0.9813104718272522,1.0,1.0
2017-02-27,BR16,manha,4,0.03686600081311932,0.9945635919361884,1.0,1.0
2017-02-27,BR16,manha,5,0.03276386075924009,0.9957061177125965,1.0,1.0
2017-02-27,BR16,manha,6,0.02943940412822984,0.996533285938299,1.0,1.0
2017-02-27,BR16,manha,7,0.02865614878914396,0.9967153005462978,1.0,1.0
2017-02-27,BR16,manha,8,0.027406267171316154,0.9969955860789378,1.0,1.0
2017-02-27,BR16,manha,9,0.027379560555668033,0.997001438655114,1.0,1.0
2017-02-27,BR16,manha,10,0.02763981028325124,0.9969441635500235,1.0,1.0
2017-02-27,BR16,manha,11,0.027883519170054577,0.9968900374347728,1.0,1.0
2017-02-27,BR16,manha,12,0.0286425932759354,0.9967184074017174,1.0,1.0
2017-02-27,BR16,manha,13,0.02875533403530447,0.9966925230580722,1.0,1.0
2017-02-27,BR16,manha,14,0.02893991762333783,0.9966499246718177,1.0,1.0
2017-02-27,BR16,manha,15,0.028947562998877515,0.9966481543857041,1.0,1.0
2017-02-27,CD202,manha,1,0.1492865110948682,0.9108541504204872,1.0,1.0
2017-02-27,CD202,manha,2,0.13011264072222417,0.9322828028971577,1.0,1.0
2017-02-27,CD202,manha,3,0.09168318892158753,0.966376771476674,1.0,1.0
2017-02-27,CD202,manha,4,0.0711642395844999,0.9797426040174396,1.0,1.0
2017-02-27,CD202,manha,5,0.05712385831507217,0.9869474592447982,1.0,1.0
