sample_id,data_coleta_iso,genotipo_normalizado,condicao_normalizada,y_true,y_pred
B1_CD202_NIRRIG_REPROD00007.asd,2017-02-23,CD202,nao_irrigado,0,0.1113356064904985
B1_EMB48_IRRIG_REPROD00000.asd,2017-02-23,EMB48,irrigado,1,0.817873262778116
B1_EMB48_IRRIG_REPROD00001.asd,2017-02-23,EMB48,irrigado,1,0.8480154771278723
B1_EMB48_IRRIG_REPROD00002.asd,2017-02-23,EMB48,irrigado,1,0.9412787727843328
B1_EMB48_IRRIG_REPROD00003.asd,2017-02-23,EMB48,irrigado,1,0.8907753218701817
B1_EMB48_IRRIG_REPROD00004.asd,2017-02-23,EMB48,irrigado,1,0.7250895202959633
B1_EMB48_IRRIG_REPROD00005.asd,2017-02-23,EMB48,irrigado,1,0.7146593997281068
B1_EMB48_IRRIG_REPROD00006.asd,2017-02-23,EMB48,irrigado,1,0.7881765795190033
B1_EMB48_IRRIG_REPROD00007.asd,2017-02-23,EMB48,irrigado,1,0.8431402882557665
B1_EMB48_NIRRIG_REPROD00000.asd,2017-02-23,EMB48,nao_irrigado,0,0.1385405530662514
B1_EMB48_NIRRIG_REPROD00001.asd,2017-02-23,EMB48,nao_irrigado,0,0.0926714848283231
B1_EMB48_NIRRIG_REPROD00002.asd,2017-02-23,EMB48,nao_irrigado,0,0.13655373904913842
B1_EMB48_NIRRIG_REPROD00003.asd,2017-02-23,EMB48,nao_irrigado,0,0.0642703717493115
B1_EMB48_NIRRIG_REPROD00004.asd,2017-02-23,EMB48,nao_irrigado,0,0.08814721509218476
B1_EMB48_NIRRIG_REPROD00005.asd,2017-02-23,EMB48,nao_irrigado,0,0.05958203307475329
B1_EMB48_NIRRIG_REPROD00006.asd,2017-02-23,EMB48,nao_irrigado,0,0.1347199821011002
B1_EMB48_NIRRIG_REPROD00007.asd,2017-02-23,EMB48,nao_irrigado,0,0.06861413439528169
B2_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,1,0.5731316578025172
B2_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,1,0.5067906701874253
B2_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,1,0.5125866680431241
B2_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,1,0.5596631342715863
B2_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,1,0.6392972011605894
B2_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,1,0.5860338607170311
B2_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,1,0.6043018623114448
B2_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,1,0.653511251892479
B2_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,0,0.24941999302297513
B2_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,0,0.17138176424548296
B2_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,0,0.22658429550485792
B2_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,0,0.23163723539769365
B2_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,0,0.19472036565888273
B2_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,0,0.15607617586213351
B2_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,0,0.2024906573655031
B2_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,0,0.19362927637310534
B2_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,1,0.9418866694992657
B2_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,1,0.9155445275831313
B2_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,1,0.9263710601715429
B2_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,1,0.8859735491995289
